Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-11852	Cloning_vector_MuNXKan,_complete_sequence.	37199
Sequence-11853	Cloning_vector_pQLinkN,_complete_sequence.	4823
Sequence-11854	Cloning_vector_pZKG19,_complete_sequence.	3241
Sequence-11855	Cloning_vector_RSFmob,_complete_sequence.	8335
Sequence-11856	Cloning_vector_pSoup,_complete_sequence.	9275
Sequence-11857	Cloning_vector_pHyVec11,_complete_sequence.	5525
Sequence-11858	Cloning_vector_pVMGCRT85,_complete_sequence.	11368
Sequence-11859	Cloning_vector_pXEN,_complete_sequence.	3239
Sequence-11860	Cloning_vector_pBB174,_complete_sequence.	7666
Sequence-11861	Cloning_vector_pE2n,_complete_sequence.	2427
Sequence-11862	Cloning_vector_pE6n,_complete_sequence.	3030
Sequence-11863	Cloning_vector_pE1c,_complete_sequence.	2336
Sequence-11864	Cloning_vector_pE3c,_complete_sequence.	2567
Sequence-11865	Cloning_vector_pE6c,_complete_sequence.	3023
Sequence-11866	Cloning_vector_pGSC03,_complete_sequence.	4869
Sequence-11867	Cloning_vector_pGSC07,_complete_sequence.	4818
Sequence-11868	Cloning_vector_pAW8_6XFLAG,_complete_sequence.	10103
Sequence-11869	Cloning_vector_pAW8_tdTomato,_complete_sequence.	11342
Sequence-11870	Cloning_vector_pDM229,_complete_sequence.	3511
Sequence-11871	Cloning_vector_pCM410,_complete_sequence.	10136
Sequence-11872	Cloning_vector_pNIGEL13,_complete_sequence.	7398
Sequence-11873	Cloning_vector_pPLV17_v2,_complete_sequence.	5175
Sequence-11874	Cloning_vector_pPLV19_v2,_complete_sequence.	5035
Sequence-11875	Cloning_vector_pXY4,_complete_sequence.	7876
Sequence-11876	Cloning_vector_pCK903,_complete_sequence.	8907
Sequence-11877	Cloning_vector_pECJ3,_complete_sequence.	5887
Sequence-11878	Cloning_vector_pPIPRA713,_complete_sequence.	10675
Sequence-11879	Cloning_vector_pT2SCb,_complete_sequence.	2946
Sequence-11880	Cloning_vector_pT2SK,_complete_sequence.	3104
Sequence-11881	Cloning_vector_pRSF1030G,_complete_sequence.	3359
Sequence-11882	Cloning_vector_pRSF1030K,_complete_sequence.	3456
Sequence-11883	Cloning_vector_pNG2,_complete_sequence.	8756
Sequence-11884	Cloning_vector_pARAn51,_complete_sequence.	6125
Sequence-11885	Cloning_vector_pDONRamp,_complete_sequence.	5406
Sequence-11886	Cloning_vector_pMQ352,_complete_sequence.	8677
Sequence-11887	Cloning_vector_NonEN.CFP,_complete_sequence.	10607
Sequence-11888	Cloning_vector_EN.CFP.SV40,_complete_sequence.	9966
Sequence-11889	Cloning_vector_pAmin81,_complete_sequence.	3654
Sequence-11890	Unidentified_cloning_vector_pKA1_DNA.	3639
Sequence-11891	Cloning_vector_pTrypRNAiGate,_complete_sequence.	9177
Sequence-11892	Cloning_vector_pKanCOs1,_complete_sequence.	5276
Sequence-11893	Cloning_vector_OX3441,_complete_sequence.	10638
Sequence-11894	Cloning_vector_pAC_SalSer914,_complete_sequence.	3854
Sequence-11895	Cloning_vector_pRLY2,_complete_sequence.	4414
Sequence-11896	Cloning_vector_pRLYT9,_complete_sequence.	7357
Sequence-11897	Cloning_vector_pRLBER1,_complete_sequence.	5936
Sequence-11898	Cloning_vector_ASM,_complete_sequence.	4791
Sequence-11899	Cloning_vector_OX3347,_complete_sequence.	10536
Sequence-11900	Cloning_vector_pSEVA231,_complete_sequence.	3123
Sequence-11901	Cloning_vector_pSEVA251,_complete_sequence.	5275
Sequence-11902	Cloning_vector_pSEVA641,_complete_sequence.	3448
Sequence-11903	Cloning_vector_pSEVA651,_complete_sequence.	5153
Sequence-11904	Cloning_vector_pSEVA133,_complete_sequence.	3673
Sequence-11905	Cloning_vector_pSEVA443,_complete_sequence.	4078
Sequence-11906	Cloning_vector_pSEVA542,_complete_sequence.	4356
Sequence-11907	Cloning_vector_pSEVA228,_complete_sequence.	5781
Sequence-11908	Cloning_vector_p94FLP_asRepL,_complete_sequence.	8046
Sequence-11909	Cloning_vector_pKIKOarsBKm,_complete_sequence.	4232
Sequence-11910	Cloning_vector_YEp24PGK,_complete_sequence.	9637
Sequence-11911	Cloning_vector_EstOF4His220LeuHistag,_complete_sequence.	804
Sequence-11912	Cloning_vector_pLW17,_complete_sequence.	9063
Sequence-11913	Cloning_vector_pSEVA438,_complete_sequence.	5140
Sequence-11914	Cloning_vector_pEBM119,_complete_sequence.	8058
Sequence-11915	Cloning_vector_pJAC90,_complete_sequence.	8851
Sequence-11916	Cloning_vector_pJAC91,_complete_sequence.	7616
Sequence-11917	Cloning_vector_PJAC92,_complete_sequence.	7535
Sequence-11918	Cloning_vector_pTn5.7luxK4,_complete_sequence.	11324
Sequence-11919	Cloning_vector_pTN5.7luxK5,_complete_sequence.	11348
Sequence-11920	Cloning_vector_pTn7oluxG4,_complete_sequence.	9465
Sequence-11921	Cloning_vector_pTn7oluxT4,_complete_sequence.	9249
Sequence-11922	Cloning_vector_pBSVirHygGW,_complete_sequence.	10770
Sequence-11923	Cloning_vector_pGGZ001,_complete_sequence.	4114
Sequence-11924	Cloning_vector_pGGA002,_complete_sequence.	3961
Sequence-11925	Cloning_vector_pGGA012,_complete_sequence.	4370
Sequence-11926	Cloning_vector_pGGC026,_complete_sequence.	4926
Sequence-11927	Cloning_vector_pGGE001,_complete_sequence.	3333
Sequence-11928	Cloning_vector_pGGG001,_complete_sequence.	2706
Sequence-11929	Cloning_vector_pBOMB4R,_complete_sequence.	10755
Sequence-11930	Cloning_vector_pEP1216,_complete_sequence.	2988
Sequence-11931	Cloning_vector_1446_neo_ScaI,_complete_sequence.	7173
Sequence-11932	Cloning_vector_pPV549,_complete_sequence.	10733
Sequence-11933	Cloning_vector_yeGFP_integration,_complete_sequence.	3237
Sequence-11934	Cloning_vector_pEX18Gm,_complete_sequence.	5831
Sequence-11935	Cloning_vector_pEX18Tc,_complete_sequence.	6349
Sequence-11936	Cloning_vector_pUK21,_complete_sequence.	3090
Sequence-11937	Cloning_vector_RSFmobcat,_complete_sequence.	9363
Sequence-11938	Cloning_vector_pTM117,_complete_sequence.	11278
Sequence-11939	Cloning_vector_pIPKTA33,_complete_sequence.	2311
Sequence-11940	Cloning_vector_pCPP5264,_complete_sequence.	12904
Sequence-11941	Cloning_vector_pCPP5242,_complete_sequence.	3249
Sequence-11942	Cloning_vector_pSAT6.35S.RNAi,_complete_sequence.	5238
Sequence-11943	Cloning_vector_pHC47,_complete_sequence.	10467
Sequence-11944	Cloning_vector_pHC62,_complete_sequence.	8898
Sequence-11945	Cloning_vector_pHC93,_complete_sequence.	8856
Sequence-11946	Cloning_vector_pHC94,_complete_sequence.	10967
Sequence-11947	Cloning_vector_pHC38,_complete_sequence.	8624
Sequence-11948	Cloning_vector_pNIGEL09,_complete_sequence.	8121
Sequence-11949	Cloning_vector_pXY1,_complete_sequence.	7391
Sequence-11950	Cloning_vector_pTVP1GFP,_complete_sequence.	5514
Sequence-11951	Cloning_vector_pCK910,_complete_sequence.	10215
Sequence-11952	Cloning_vector_pBR194b,_complete_sequence.	3614
Sequence-11953	Cloning_vector_pFF145,_complete_sequence.	3026
Sequence-11954	Cloning_vector_pFF745,_complete_sequence.	4021
Sequence-11955	Cloning_vector_BASIC_6_J23102,_complete_sequence.	3163
Sequence-11956	Cloning_vector_pYC46,_complete_sequence.	6018
Sequence-11957	Cloning_vector_pYC54,_complete_sequence.	6640
Sequence-11958	Cloning_vector_pNZP1,_complete_sequence.	9538
Sequence-11959	Cloning_vector_pPIPRA721,_complete_sequence.	10297
Sequence-11960	Cloning_vector_pBPL,_complete_sequence.	8599
Sequence-11961	Cloning_vector_pSLTS,_complete_sequence.	7754
Sequence-11962	Cloning_vector_pNG3,_complete_sequence.	9225
Sequence-11963	Cloning_vector_pU.CAG.Hand1,_complete_sequence.	5947
Sequence-11964	Cloning_vector_pGreenII,_complete_sequence.	2495
Sequence-11965	Cloning_vector_pTOR,_complete_sequence.	6531
Sequence-11966	Cloning_vector_pStartT2,_complete_sequence.	3265
Sequence-11967	Cloning_vector_pHC46,_complete_sequence.	9129
Sequence-11968	Cloning_vector_pHC40,_complete_sequence.	11365
Sequence-11969	Cloning_vector_pNIGEL07,_complete_sequence.	8157
Sequence-11970	Cloning_vector_pNIGEL17,_complete_sequence.	7842
Sequence-11971	Cloning_vector_pNIGEL18,_complete_sequence.	7581
Sequence-11972	Cloning_vector_pOpt_mVenus_Paro,_complete_sequence.	6704
Sequence-11973	Cloning_vector_pPLV16_v2,_complete_sequence.	5035
Sequence-11974	Cloning_vector_pPLV20_v2,_complete_sequence.	5175
Sequence-11975	Cloning_vector_pXY3,_complete_sequence.	8900
Sequence-11976	Cloning_vector_pCK900,_complete_sequence.	6653
Sequence-11977	Cloning_vector_pECGMC3,_complete_sequence.	9286
Sequence-11978	Cloning_vector_pFF828,_complete_sequence.	4092
Sequence-11979	Cloning_vector_BASIC_1_MB1,_complete_sequence.	1591
Sequence-11980	Cloning_vector_pMJ22,_complete_sequence.	4509
Sequence-11981	Cloning_vector_pPIPRA719,_complete_sequence.	13015
Sequence-11982	Cloning_vector_pPtPuc3,_complete_sequence.	7153
Sequence-11983	Cloning_vector_pRJK062,_complete_sequence.	2696
Sequence-11984	Cloning_vector_pM13,_complete_sequence.	3885
Sequence-11985	Cloning_vector_pSV009,_complete_sequence.	4446
Sequence-11986	Cloning_vector_EstOF4Ser93AlaHistag,_complete_sequence.	804
Sequence-11987	Cloning_vector_EstOF4Asp190AsnHistag,_complete_sequence.	804
Sequence-11988	Cloning_vector_pMU1810,_complete_sequence.	10413
Sequence-11989	Cloning_vector_pSEVA238,_complete_sequence.	5081
Sequence-11990	Cloning_vector_pEBM118,_complete_sequence.	9033
Sequence-11991	Cloning_vector_pTVDll42AdVenus,_complete_sequence.	6726
Sequence-11992	Cloning_vector_pFM45,_complete_sequence.	3714
Sequence-11993	Cloning_vector_PJAC93,_complete_sequence.	7589
Sequence-11994	Cloning_vector_pAV012,_complete_sequence.	4577
Sequence-11995	Cloning_vector_pAV001,_complete_sequence.	3327
Sequence-11996	Cloning_vector_pLV.donor.eGFP,_complete_sequence.	10192
Sequence-11997	Cloning_vector_pCV_cistron14,_complete_sequence.	24716
Sequence-11998	Cloning_vector_pGGN000,_complete_sequence.	3478
Sequence-11999	Cloning_vector_pGGC014,_complete_sequence.	3405
Sequence-12000	Cloning_vector_pGGC024,_complete_sequence.	3408
Sequence-12001	Cloning_vector_pGGC025,_complete_sequence.	4953
Sequence-12002	Cloning_vector_pYD14,_complete_sequence.	8248
Sequence-12003	Cloning_vector_pSOL9DEF1,_complete_sequence.	9115
Sequence-12004	Cloning_vector_pSUMO3_ck4,_complete_sequence.	5585
Sequence-12005	Cloning_vector_pNB51,_complete_sequence.	5684
Sequence-12006	Cloning_vector_pNB97,_complete_sequence.	9151
Sequence-12007	Cloning_vector_pNB102,_complete_sequence.	9811
Sequence-12008	Cloning_vector_pEG,_complete_sequence.	4151
Sequence-12009	Cloning_vector_pTSL,_complete_sequence.	4255
Sequence-12010	Cloning_vector_pPV567,_complete_sequence.	4595
Sequence-12011	Cloning_vector_pPV570,_complete_sequence.	4596
Sequence-12012	Cloning_vector_pTM30,_complete_sequence.	4360
Sequence-12013	Cloning_vector_pCMVTAG2b,_complete_sequence.	4324
Sequence-12014	Cloning_vector_pCMVTAG4a,_complete_sequence.	4319
Sequence-12015	Cloning_vector_pCLZip_complete_sequence.	3733
Sequence-12016	Cloning_vector_pLS3,_complete_sequence.	5070
Sequence-12017	Cloning_vector_pRL51,_partial_sequence.	1327
Sequence-12018	Cloning_vector_pBS152v,_complete_sequence.	4566
Sequence-12019	Cloning_vector_pUC58,_complete_sequence.	2746
Sequence-12020	Cloning_vector_pCH110,_complete_sequence.	7125
Sequence-12021	Cloning_vector_pUG26,_complete_sequence.	2969
Sequence-12022	Cloning_vector_pDO17,_complete_sequence.	12035
Sequence-12023	Cloning_vector_pKSM715,_complete_sequence.	5041
Sequence-12024	Cloning_vector_pCM130,_complete_sequence.	7965
Sequence-12025	Cloning_vector_pGBT9,_complete_sequence.	5524
Sequence-12026	Cloning_vector_pTRG,_complete_sequence.	4392
Sequence-12027	pCM7_cloning_vector,_complete_sequence.	4060
Sequence-12028	Cloning_vector_pRL1383a,_complete_sequence.	8958
Sequence-12029	pNEO_cloning_vector,_complete_sequence.	5508
Sequence-12030	pSVK3_cloning_vector,_complete_sequence.	3919
Sequence-12031	pT7T3D_cloning_vector,_complete_sequence.	2907
Sequence-12032	Cloning_vector_pLK-neo_DNA.	7087
Sequence-12033	Cloning_vector_pBBRT,_complete_sequence.	5973
Sequence-12034	Cloning_vector_pTransgene,_complete_sequence.	5398
Sequence-12035	Cloning_vector_pM,_complete_sequence.	3485
Sequence-12036	Cloning_vector_pRS317,_complete_sequence.	8601
Sequence-12037	Cloning_vector_pRK404,_complete_sequence.	11237
Sequence-12038	Cloning_vector_pAZ1,_complete_sequence.	2730
Sequence-12039	Cloning_vector_pRFN4,_complete_sequence.	8774
Sequence-12040	Cloning_vector_pSUP202,_complete_sequence.	7830
Sequence-12041	Cloning_vector_pAGA3,_complete_sequence.	3018
Sequence-12042	Cloning_vector_pZGA22,_complete_sequence.	14701
Sequence-12043	Cloning_vector_pLucFXR,_complete_sequence.	10837
Sequence-12044	Cloning_vector_pJK95,_complete_sequence.	4791
Sequence-12045	Cloning_vector_pRGK335,_complete_sequence.	11051
Sequence-12046	Cloning_vector_pHUE,_complete_sequence.	5942
Sequence-12047	Cloning_vector_pBlueLysis,_complete_sequence.	5443
Sequence-12048	Unidentified_cloning_vector,_complete_sequence.	5488
Sequence-12049	Cloning_vector_pWIZdir,_complete_sequence.	9017
Sequence-12050	Cloning_vector_pAW33,_complete_sequence.	5172
Sequence-12051	Cloning_vector_pAW34,_complete_sequence.	5169
Sequence-12052	Cloning_vector_pE4c,_complete_sequence.	2972
Sequence-12053	Cloning_vector_pGSC01,_complete_sequence.	3672
Sequence-12054	Cloning_vector_pDM313,_complete_sequence.	3692
Sequence-12055	Cloning_vector_pDM131,_complete_sequence.	3666
Sequence-12056	Cloning_vector_pJM2,_complete_sequence.	4885
Sequence-12057	Cloning_vector_pCK902,_complete_sequence.	5710
Sequence-12058	Cloning_vector_pCK908,_complete_sequence.	5991
Sequence-12059	Cloning_vector_pVAHS01it,_complete_sequence.	7530
Sequence-12060	Cloning_vector_pZJ17,_complete_sequence.	10010
Sequence-12061	Cloning_vector_pZJ20,_complete_sequence.	9963
Sequence-12062	Cloning_vector_pZJ25,_complete_sequence.	5231
Sequence-12063	Cloning_vector_pPL5618_pUG_MtxR,_complete_sequence.	3760
Sequence-12064	Cloning_vector_pCT3,_complete_sequence.	3643
Sequence-12065	Cloning_vector_pBG,_complete_sequence.	3947
Sequence-12066	Cloning_vector_pMAZe,_complete_sequence.	11860
Sequence-12067	Cloning_vector_EN.GFP,_complete_sequence.	10655
Sequence-12068	Cloning_vector_pYUB28b,_complete_sequence.	4921
Sequence-12069	Unidentified_cloning_vector_pLGlacz7_DNA.	8787
Sequence-12070	Cloning_vector_pMAB136,_complete_sequence.	6740
Sequence-12071	Cloning_vector_pBAD24hyg,_complete_sequence.	4619
Sequence-12072	Cloning_vector_pPLV04,_complete_sequence.	7269
Sequence-12073	Cloning_vector_pPLV05,_complete_sequence.	5473
Sequence-12074	Cloning_vector_pPLV15,_complete_sequence.	7432
Sequence-12075	Cloning_vector_pPLV22,_complete_sequence.	6154
Sequence-12076	Cloning_vector_pPLV23,_complete_sequence.	6507
Sequence-12077	Cloning_vector_pPLV25,_complete_sequence.	6042
Sequence-12078	Cloning_vector_pPLV31,_complete_sequence.	9507
Sequence-12079	Cloning_vector_pPLV32,_complete_sequence.	4898
Sequence-12080	Cloning_vector_pPLV34,_complete_sequence.	5606
Sequence-12081	Cloning_vector_pRR24,_complete_sequence.	10417
Sequence-12082	Cloning_vector_pAM4418_SP6T7,_partial_sequence.	3289
Sequence-12083	Cloning_vector_pFlipTrap,_complete_sequence.	7034
Sequence-12084	Cloning_vector_pABC2,_complete_sequence.	5769
Sequence-12085	Cloning_vector_pBGEN02,_complete_sequence.	7882
Sequence-12086	Cloning_vector_pPIPRA587,_complete_sequence.	12429
Sequence-12087	Cloning_vector_pFM46,_complete_sequence.	3669
Sequence-12088	Cloning_vector_pRL1,_complete_sequence.	2702
Sequence-12089	Cloning_vector_pRLYC2,_complete_sequence.	5627
Sequence-12090	Cloning_vector_pRLYC8,_complete_sequence.	7038
Sequence-12091	Cloning_vector_pRLSAYC9,_complete_sequence.	8026
Sequence-12092	Cloning_vector_SBa_000560,_complete_sequence.	9859
Sequence-12093	Cloning_vector_pHyVec4,_complete_sequence.	5128
Sequence-12094	Cloning_vector_pPOP6IPT,_complete_sequence.	11891
Sequence-12095	Cloning_vector_pGRG36pir,_complete_sequence.	13905
Sequence-12096	Cloning_vector_pSEVA111,_complete_sequence.	2094
Sequence-12097	Cloning_vector_pSEVA151,_complete_sequence.	5376
Sequence-12098	Cloning_vector_pSEVA543,_complete_sequence.	4356
Sequence-12099	Cloning_vector_pSEVA632,_complete_sequence.	3450
Sequence-12100	Cloning_vector_pSEVA642,_complete_sequence.	3897
Sequence-12101	Cloning_vector_pDEST413CYC1t7,_complete_sequence.	6999
Sequence-12102	Cloning_vector_pDRIA,_complete_sequence.	11038
Sequence-12103	Cloning_vector_pDRIB,_complete_sequence.	11038
Sequence-12104	Cloning_vector_pKIKOlacZKm,_complete_sequence.	4157
Sequence-12105	Cloning_vector_pDEST375,_complete_sequence.	7072
Sequence-12106	Cloning_vector_pDCAF1,_complete_sequence.	15815
Sequence-12107	Cloning_vector_pDCAF3,_complete_sequence.	7721
Sequence-12108	Cloning_vector_pSTA,_complete_sequence.	11849
Sequence-12109	Cloning_vector_pSEVA434,_complete_sequence.	4609
Sequence-12110	Cloning_vector_pEBM122,_complete_sequence.	8709
Sequence-12111	Cloning_vector_pUASg.attB,_complete_sequence.	10293
Sequence-12112	Cloning_vector_placZ.attB,_complete_sequence.	11574
Sequence-12113	Cloning_vector_pEGFP.attB,_complete_sequence.	9154
Sequence-12114	Cloning_vector_pX10,_complete_sequence.	5385
Sequence-12115	Cloning_vector_pX11,_complete_sequence.	5445
Sequence-12116	Cloning_vector_pSOL9DEF2,_complete_sequence.	9112
Sequence-12117	Cloning_vector_pAKT7,_complete_sequence.	8492
Sequence-12118	BlueScribe_KS_Plus_cloning_vector.	2964
Sequence-12119	Cloning_vector_pGR8,_complete_sequence.	9655
Sequence-12120	Cloning_vector_pCMVTAG5b,_complete_sequence.	4323
Sequence-12121	Cloning_vector_pNTKV1904,_complete_sequence.	5608
Sequence-12122	Cloning_vector_pVZ361_complete_sequence.	11291
Sequence-12123	Cloning_vector_pTL61T,_complete_sequence.	8565
Sequence-12124	Cloning_vector_pBacPAK9,_complete_sequence.	5538
Sequence-12125	Cloning_vector_pADbeta,_complete_sequence.	7069
Sequence-12126	Cloning_vector_pMC1neo,_complete_sequence.	3804
Sequence-12127	Cloning_vector_pPAC4,_complete_sequence.	19500
Sequence-12128	Cloning_vector_pVP16,_complete_sequence.	3280
Sequence-12129	Cloning_vector_pCE40,_complete_sequence.	6274
Sequence-12130	Cloning_vector_pTA6,_complete_sequence.	3000
Sequence-12131	Cloning_vector_piggyBac_WH,_complete_sequence.	10731
Sequence-12132	Cloning_vector_pBEO210,_complete_sequence.	28953
Sequence-12133	Cloning_vector_pHyVec7,_complete_sequence.	6257
Sequence-12134	Cloning_vector_BSNY,_complete_sequence.	3902
Sequence-12135	Cloning_vector_pCC1FOS,_complete_sequence.	8139
Sequence-12136	Cloning_vector_pCC2FOS,_complete_sequence.	8181
Sequence-12137	Cloning_vector_pE1n,_complete_sequence.	2349
Sequence-12138	Cloning_vector_pDonrCbx,_complete_sequence.	6776
Sequence-12139	Cloning_vector_pMQ123i,_complete_sequence.	9697
Sequence-12140	Cloning_vector_pMQ113,_complete_sequence.	6654
Sequence-12141	Cloning_vector_pAW8_1XFLAG,_complete_sequence.	9953
Sequence-12142	Cloning_vector_pDM193,_complete_sequence.	3667
Sequence-12143	Cloning_vector_pFloxin,_complete_sequence.	3893
Sequence-12144	Cloning_vector_pHC44,_complete_sequence.	9816
Sequence-12145	Cloning_vector_pHC51,_complete_sequence.	10586
Sequence-12146	Cloning_vector_pHC69,_complete_sequence.	10253
Sequence-12147	Cloning_vector_pHC70,_complete_sequence.	8863
Sequence-12148	Cloning_vector_pHC71,_complete_sequence.	10974
Sequence-12149	Cloning_vector_pHC92,_complete_sequence.	10246
Sequence-12150	Cloning_vector_pFF758,_complete_sequence.	3166
Sequence-12151	Cloning_vector_pZJ23,_complete_sequence.	3412
Sequence-12152	Cloning_vector_pYC50,_complete_sequence.	6482
Sequence-12153	Cloning_vector_pNG4,_complete_sequence.	9791
Sequence-12154	Cloning_vector_pBG13,_complete_sequence.	3986
Sequence-12155	Cloning_vector_pBG17,_complete_sequence.	3959
Sequence-12156	Cloning_vector_pBG35,_complete_sequence.	3959
Sequence-12157	Cloning_vector_pMA7,_complete_sequence.	6163
Sequence-12158	Cloning_vector_pMA1,_complete_sequence.	5287
Sequence-12159	Cloning_vector_p2CgammaMCS,_complete_sequence.	1605
Sequence-12160	Cloning_vector_pDBR,_complete_sequence	6619
Sequence-12161	Cloning_vector_pSB890,_complete_sequence.	5335
Sequence-12162	Cloning_vector_pLR3,_complete_sequence.	6270
Sequence-12163	Cloning_vector_pLR4,_complete_sequence.	6749
